20:26:29: 自动让小蜜蜂×1 去采蜜
20:26:29: NCHiveWork:235-254 
16:25:41: 1超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_get_package?g_tk=340142431--
16:25:41: 1超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_getstatus_filter?g_tk=340142431--
16:25:41: GetHelp:2031-330 
16:25:41: 1超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_wish_star?g_tk=340142431--
16:25:41: NCTreeStar:2031-330 
16:25:41: 2超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_friend?act=invitlist&g_tk=340142431--
16:25:41: 4超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_get_Exp?g_tk=340142431--
16:25:41: 1超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_fish_index?g_tk=340142431--
16:25:41: MyFish:2047-330 
16:25:41: 4超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_get_package?g_tk=340142431--
16:25:41: 4超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_getstatus_filter?g_tk=340142431--
16:25:41: 4超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_wish_star?g_tk=340142431--
16:25:41: 1超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_friend?act=invitlist&g_tk=340142431--
16:25:41: NCInvitList:2047-330 
16:25:40: 3超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_get_Exp?g_tk=340142431--
16:25:40: 4超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_fish_index?g_tk=340142431--
16:25:40: 3超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_get_package?g_tk=340142431--
16:25:40: 3超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_getstatus_filter?g_tk=340142431--
16:25:40: 3超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_wish_star?g_tk=340142431--
16:25:40: 4超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_friend?act=invitlist&g_tk=340142431--
16:25:40: 2超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_get_Exp?g_tk=340142431--
16:25:40: 3超时URL[200]:http://nc.qzone.qq.com/cgi-bin/cgi_fish_index?g_tk=340142431--
16:25:40: 2超时URL[200]:http://mc.qzone.qq.com/cgi-bin/cgi_get_package?g_tk=340142431--
16:25:40: 2超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_getstatus_filter?g_tk=340142431--
16:25:40: 2超时URL[200]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_wish_star?g_tk=340142431--
16:25:40: 3超时URL[200]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_friend?act=invitlist&g_tk=340142431--
16:25:39: 正在重新读取 [浪] 的农场2019/7/16 10:54:31
16:25:39: 2超时URL[200]:http://nc.qzone.qq.com/cgi-bin/cgi_fish_index?g_tk=340142431--
16:25:39: 1超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_get_Exp?g_tk=340142431--
16:25:39: 1超时URL[200]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_getstatus_filter?g_tk=340142431--
16:25:39: GetHelp:6328-330 
16:25:39: 1超时URL[200]:http://mc.qzone.qq.com/cgi-bin/cgi_get_package?g_tk=340142431--
16:25:39: 1超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_wish_star?g_tk=340142431--
16:25:39: NCTreeStar:6312-330 
16:25:39: GetMyFarm:浪:6328-330 
16:25:39: 2超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_friend?act=invitlist&g_tk=340142431--
16:25:39: 1超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_fish_index?g_tk=340142431--
16:25:39: 4超时URL[200]:http://mc.qzone.qq.com/cgi-bin/cgi_get_Exp?g_tk=340142431--
16:25:39: 4超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
16:25:39: GetMyFarm:2531-330 
16:25:39: 4超时URL[200]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_wish_star?g_tk=340142431--
16:25:39: 4超时URL[200]:http://mc.qzone.qq.com/cgi-bin/cgi_enter?g_tk=340142431--
16:25:39: 4超时URL[200]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_getstatus_filter?g_tk=340142431--
16:25:39: 1超时URL[200]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_friend?act=invitlist&g_tk=340142431--
16:25:39: NCInvitList:2484-330 
16:25:39: 3超时URL[200]:http://mc.qzone.qq.com/cgi-bin/cgi_get_Exp?g_tk=340142431--
16:25:39: 3超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
16:25:39: 3超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_wish_star?g_tk=340142431--
16:25:39: 4超时URL[200]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
16:25:39: 3超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_getstatus_filter?g_tk=340142431--
16:25:39: 3超时URL[200]:http://mc.qzone.qq.com/cgi-bin/cgi_enter?g_tk=340142431--
16:25:39: 4超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_friend?act=invitlist&g_tk=340142431--
16:25:39: 2超时URL[200]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_wish_star?g_tk=340142431--
16:25:39: 2超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
16:25:39: 2超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_enter?g_tk=340142431--
16:25:39: 2超时URL[200]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_getstatus_filter?g_tk=340142431--
16:25:39: 3超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_friend?act=invitlist&g_tk=340142431--
16:25:39: 2超时URL[200]:http://mc.qzone.qq.com/cgi-bin/cgi_get_Exp?g_tk=340142431--
16:25:39: 3超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
16:25:37: 2超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
16:25:37: 2超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_friend?act=invitlist&g_tk=340142431--
16:25:37: 1超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_get_Exp?g_tk=340142431--
16:25:37: 1超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_enter?g_tk=340142431--
16:25:37: 1超时URL[200]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_getstatus_filter?g_tk=340142431--
16:25:37: 1超时URL[200]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_wish_star?g_tk=340142431--
16:25:37: 1超时URL[200]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
16:25:36: 1超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_friend?act=invitlist&g_tk=340142431--
16:25:36: 1超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
16:25:36: 4超时URL[-1]:http://ad.qqfarmer.com.cn/login.php?id=p&r=0.0807106127031147--
16:25:36: 自动校验服务器时间
16:25:36: 自动休息
16:25:36: 农场小手
16:25:36: 正在重新读取 [六两] 的渔场
16:25:36: 正在重新读取 [浪] 的农场2019/7/16 10:54:31
16:25:36: 监控超时:8322562
14:05:16: NCJZMyJoin:312-330 
14:05:15: NCJZHome:328-348 
14:05:14: NCJZMyJoin:375-368 
14:05:13: NCJZHome:391-362 
14:05:12: NCNewLandHome:359-333 
14:05:11: NCXTHome:313-307 
14:05:10: {"code":0,"direction":"加工坊开启需农场等级达到56级及评级系统为省级以上","ecode":-109} farmTime=1563257110,farmKey=fe2873200866292e4bed312c681aa120,farmKey2=9e24a42f3b4d05362b1759921fef2dab,uIdx=2937780336,uinY=2937059067,ownerId=2937780336,uinX=2937059067,uid=2937780336
14:05:10: NCWorkHome:297-301 
14:05:08: NCHiveHome:281-305 
14:05:07: NCGetWish:297-330 
14:05:06: NCFuseHome:265-363 
14:05:05: NCMPHome:593-461 
14:05:04: NCQTShopHome:312-329 
14:05:03: NCQTOrderHome:343-347 
14:05:01: NCQTHome:359-351 
14:05:01: NCFishPiece:328-344 
14:05:00: NCOrderHome:375-361 
14:05:00: NCGetBound:344-347 
14:05:00: MyFish:297-350 
14:04:59: MyFish:六两:454-404 
14:04:59: GetHelp:328-354 
14:04:59: GetMyFarm:328-380 14:04:59
14:04:58: 休息完毕，开启工作
14:02:21: GetMyFarm:391-429 14:02:21
13:51:20: GetMyFarm:2453-402 13:51:20
13:51:19: 1超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_up_task?g_tk=340142431--
13:51:18: 3超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
13:51:18: 4超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_up_task?g_tk=340142431--
13:51:18: 2超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
13:51:17: 3超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_up_task?g_tk=340142431--
13:51:17: 1超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
13:51:17: GetMyFarm:2078-402 
13:51:17: 2超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_up_task?g_tk=340142431--
13:51:16: 4超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
13:51:16: 1超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_up_task?g_tk=340142431--
13:51:16: 3超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
13:51:15: 4超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_up_task?g_tk=340142431--
13:51:15: 2超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
13:51:15: 3超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_up_task?g_tk=340142431--
13:51:15: 1超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
13:51:15: GetMyFarm:2016-402 
13:51:14: 2超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_up_task?g_tk=340142431--
13:51:14: 4超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
13:51:14: 1超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_up_task?g_tk=340142431--
13:51:14: 3超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
13:51:13: 4超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_enter?g_tk=340142431--
13:51:13: 2超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
13:51:13: 3超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_enter?g_tk=340142431--
13:51:13: 1超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
13:51:13: GetMyFarm:2031-402 
13:51:12: 2超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_enter?g_tk=340142431--
13:51:12: 4超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
13:51:12: 1超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_enter?g_tk=340142431--
13:51:12: 牧场发包错误屋里凡凡2号
13:51:12: 3超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
13:51:11: 4超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_up_task?g_tk=340142431--
13:51:11: 2超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
13:51:11: 3超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_up_task?g_tk=340142431--
13:51:11: 1超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
13:51:10: GetMyFarm:2031-402 
13:51:10: 2超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_up_task?g_tk=340142431--
13:51:10: 4超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
13:51:10: 1超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_up_task?g_tk=340142431--
13:51:09: 3超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
13:51:09: 4超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_up_task?g_tk=340142431--
13:51:09: 2超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
13:51:09: 3超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_up_task?g_tk=340142431--
13:51:08: 1超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
13:51:08: GetMyFarm:2031-402 
13:51:08: 2超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_up_task?g_tk=340142431--
13:51:08: 4超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
13:51:08: 1超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_up_task?g_tk=340142431--
13:51:07: 3超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
13:51:07: 4超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_up_task?g_tk=340142431--
13:51:07: 2超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
13:51:07: 3超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_up_task?g_tk=340142431--
13:51:06: 1超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
13:51:06: 2超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_up_task?g_tk=340142431--
13:51:06: GetMyFarm:2031-402 
13:51:06: 1超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_up_task?g_tk=340142431--
13:51:06: 4超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
13:51:05: 4超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_up_task?g_tk=340142431--
13:51:05: 3超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
13:51:05: 3超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_up_task?g_tk=340142431--
13:51:05: 2超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
13:51:04: 2超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_up_task?g_tk=340142431--
13:51:04: 1超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
13:51:04: GetMyFarm:2031-402 
13:51:04: 1超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_up_task?g_tk=340142431--
13:51:04: 4超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
13:51:03: 4超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_enter?g_tk=340142431--
13:51:03: 3超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
13:51:03: 3超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_enter?g_tk=340142431--
13:51:03: 2超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
13:51:02: 2超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_enter?g_tk=340142431--
13:51:02: 1超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
13:51:02: GetMyFarm:2032-402 
13:51:02: 1超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_enter?g_tk=340142431--
13:51:02: 牧场发包错误屋里凡凡2号
13:51:02: 4超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
13:51:01: 4超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_up_task?g_tk=340142431--
13:51:01: 3超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
13:51:01: 3超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_up_task?g_tk=340142431--
13:51:01: 2超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
13:51:00: 2超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_up_task?g_tk=340142431--
13:51:00: 1超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
13:51:00: GetMyFarm:2234-402 
13:51:00: 1超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_up_task?g_tk=340142431--
13:51:00: 4超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
13:50:59: 4超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_up_task?g_tk=340142431--
13:50:59: 3超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
13:50:59: 3超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_up_task?g_tk=340142431--
13:50:58: 2超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
13:50:58: 2超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_up_task?g_tk=340142431--
13:50:58: 1超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
13:50:58: GetMyFarm:2032-402 
13:50:58: 1超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_up_task?g_tk=340142431--
13:50:57: 4超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
13:50:57: 4超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_up_task?g_tk=340142431--
13:50:57: 3超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
13:50:57: 3超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_up_task?g_tk=340142431--
13:50:56: 2超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
13:50:56: 2超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_up_task?g_tk=340142431--
13:50:56: 1超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
13:50:56: GetMyFarm:2032-402 
13:50:56: 1超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_up_task?g_tk=340142431--
13:50:55: 4超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
13:50:55: 4超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_up_task?g_tk=340142431--
13:50:55: 3超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
13:50:55: 3超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_up_task?g_tk=340142431--
13:50:54: 2超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
13:50:54: 2超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_up_task?g_tk=340142431--
13:50:54: 1超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
13:50:54: GetMyFarm:2047-402 
13:50:54: 1超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_up_task?g_tk=340142431--
13:50:53: 4超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
13:50:53: 4超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_enter?g_tk=340142431--
13:50:53: 3超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
13:50:53: 3超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_enter?g_tk=340142431--
13:50:52: 2超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
13:50:52: 2超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_enter?g_tk=340142431--
13:50:52: 1超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
13:50:52: 1超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_enter?g_tk=340142431--
13:50:52: 牧场发包错误屋里凡凡2号
13:50:52: GetMyFarm:2031-402 
13:50:51: 4超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_up_task?g_tk=340142431--
13:50:51: 4超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
13:50:51: 3超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_up_task?g_tk=340142431--
13:50:51: 3超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
13:50:50: 2超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_up_task?g_tk=340142431--
13:50:50: 2超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
13:50:50: 1超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_up_task?g_tk=340142431--
13:50:50: 1超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
13:50:49: GetMyFarm:2031-402 
13:50:49: 4超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_up_task?g_tk=340142431--
13:50:49: 4超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
13:50:49: 3超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_up_task?g_tk=340142431--
13:50:48: 3超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
13:50:48: 2超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_up_task?g_tk=340142431--
13:50:48: 2超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
13:50:48: 1超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_up_task?g_tk=340142431--
13:50:47: 1超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
13:50:47: GetMyFarm:2031-402 
13:50:47: 4超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_up_task?g_tk=340142431--
13:50:47: 4超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
13:50:47: 3超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_up_task?g_tk=340142431--
13:50:46: 3超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
13:50:46: 2超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_up_task?g_tk=340142431--
13:50:46: 2超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
13:50:45: 1超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_up_task?g_tk=340142431--
13:50:45: 1超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
13:50:45: GetMyFarm:2031-402 
13:50:45: 4超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_up_task?g_tk=340142431--
13:50:45: 4超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
13:50:44: 3超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_up_task?g_tk=340142431--
13:50:44: 3超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
13:50:44: 2超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_up_task?g_tk=340142431--
13:50:44: 2超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
13:50:43: 1超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_up_task?g_tk=340142431--
13:50:43: 1超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
13:50:43: GetMyFarm:2031-402 
13:50:43: 4超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_enter?g_tk=340142431--
13:50:43: 4超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
13:50:42: 3超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_enter?g_tk=340142431--
13:50:42: 3超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
13:50:42: 2超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_enter?g_tk=340142431--
13:50:42: 2超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
13:50:41: 1超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_enter?g_tk=340142431--
13:50:41: 牧场发包错误屋里凡凡2号
13:50:41: 1超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
13:50:41: GetMyFarm:2032-402 
13:50:41: 4超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_up_task?g_tk=340142431--
13:50:41: 4超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=340142431--
13:50:40: 3超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_up_task?g_tk=340142431--
